22:28:11 kwargs,  {'id': -1} <class 'dict'>
22:29:23 kwargs,  {'blog_id': 1} <class 'dict'>
22:29:23 kwargs,  {'id': 1} <class 'dict'>
22:29:30 kwargs,  {'blog_id': 1} <class 'dict'>
22:29:30 kwargs,  {'id': 1} <class 'dict'>
22:30:09 debug 13
22:30:12 debug 14
23:16:17 kwargs,  {'id': -1} <class 'dict'>
23:33:39 kwargs,  {'blog_id': 3} <class 'dict'>
23:33:39 kwargs,  {'id': 3} <class 'dict'>
23:33:56 kwargs,  {'blog_id': 2} <class 'dict'>
23:33:56 kwargs,  {'id': 2} <class 'dict'>
23:33:58 kwargs,  {'blog_id': 1} <class 'dict'>
23:33:58 kwargs,  {'id': 1} <class 'dict'>
23:34:00 kwargs,  {'blog_id': 3} <class 'dict'>
23:34:00 kwargs,  {'id': 3} <class 'dict'>
23:34:03 kwargs,  {'blog_id': 2} <class 'dict'>
23:34:03 kwargs,  {'id': 2} <class 'dict'>
23:52:11 kwargs,  {'id': -1} <class 'dict'>
00:04:40 kwargs,  {'customer_id': 2} <class 'dict'>
00:04:42 kwargs,  {'customer_id': 1} <class 'dict'>
00:04:43 kwargs,  {'customer_id': 2} <class 'dict'>
00:05:21 kwargs,  {'customer_id': 2} <class 'dict'>
00:05:22 kwargs,  {'customer_id': 1} <class 'dict'>
00:05:23 kwargs,  {'customer_id': 2} <class 'dict'>
00:07:59 kwargs,  {'customer_id': 2} <class 'dict'>
00:08:05 kwargs,  {'customer_id': 1} <class 'dict'>
00:08:07 kwargs,  {'customer_id': 2} <class 'dict'>
00:08:08 kwargs,  {'customer_id': 1} <class 'dict'>
00:08:08 kwargs,  {'customer_id': 2} <class 'dict'>
00:08:14 kwargs,  {'customer_id': 2} <class 'dict'>
00:08:23 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:24 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:25 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:27 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:28 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:28 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:29 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:29 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:30 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:32 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:32 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:33 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:33 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:34 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:34 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:35 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:36 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:37 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:38 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:38 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:39 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:39 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:40 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:40 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:41 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:41 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:42 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:42 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:43 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:43 kwargs,  {'customer_id': 1} <class 'dict'>
00:10:47 kwargs,  {'customer_id': 0} <class 'dict'>
00:10:53 kwargs,  {'customer_id': 9} <class 'dict'>
00:10:56 kwargs,  {'customer_id': 2} <class 'dict'>
00:10:57 kwargs,  {'customer_id': 1} <class 'dict'>
00:11:12 kwargs,  {'customer_id': 1} <class 'dict'>
00:11:13 kwargs,  {'customer_id': 1} <class 'dict'>
00:11:14 kwargs,  {'customer_id': 2} <class 'dict'>
00:11:14 kwargs,  {'customer_id': 1} <class 'dict'>
00:11:15 kwargs,  {'customer_id': 2} <class 'dict'>
11:14:53 kwargs,  {'id': -1} <class 'dict'>
11:15:09 kwargs,  {'customer_id': 1} <class 'dict'>
11:15:10 kwargs,  {'customer_id': 2} <class 'dict'>
